weekday,departure_hour,mean_delay,median_delay,number_of_trips
Thursday,14.0,2.3222254092091172,0.7666666666666667,8716
Thursday,15.0,2.7320329931599545,0.95,9113
Thursday,16.0,2.485414771003943,0.8666666666666667,8792
Thursday,17.0,2.3169662875545227,0.6833333333333333,8177
Thursday,18.0,2.0640679461725124,0.55,7555
Thursday,19.0,1.9906228407857072,0.45833333333333337,6754
Thursday,20.0,1.6607349879002757,0.26666666666666666,5923
Thursday,21.0,1.403686619466495,0.2,4661
Thursday,22.0,1.3584357224118317,0.16666666666666666,2930
Thursday,23.0,1.4422077922077923,0.03333333333333333,1386
Tuesday,0.0,1.539924670433145,-0.31666666666666665,177
Tuesday,1.0,1.7075075075075075,0.16666666666666666,222
Tuesday,2.0,1.5762682069311904,0.35,1991
Tuesday,3.0,1.4487058942472955,0.4166666666666667,6594
Tuesday,4.0,2.006419032279713,0.6333333333333333,9934
Tuesday,5.0,2.388071815051648,0.8333333333333334,10165
Tuesday,6.0,2.7292715416119924,0.8,8383
Tuesday,7.0,2.5190098921265833,0.5833333333333334,7447
Tuesday,8.0,2.1723249608979667,0.4666666666666667,7246
Tuesday,9.0,2.049638714584522,0.45,7012
Tuesday,10.0,2.009119149523678,0.43333333333333335,7243
Tuesday,11.0,2.271445297255106,0.5333333333333333,7687
Tuesday,12.0,2.030966964759688,0.5833333333333334,8163
Tuesday,13.0,2.083162072856222,0.65,8272
Tuesday,14.0,2.4762972537559476,0.7666666666666667,8897
Tuesday,15.0,2.7534045153868276,0.95,9272
Tuesday,16.0,2.4785639412997904,0.8333333333333334,8904
Tuesday,17.0,2.253074882430966,0.6833333333333333,8293
Tuesday,18.0,1.9744985736229976,0.5166666666666667,7595
Tuesday,19.0,1.9683340667937999,0.4166666666666667,6817
Tuesday,20.0,1.7614029199530123,0.25,5959
Tuesday,21.0,1.522724338282763,0.21666666666666667,4647
Tuesday,22.0,1.484125344352617,0.16666666666666666,2904
Tuesday,23.0,1.8193028485757121,0.075,1334
Wednesday,0.0,1.259009009009009,-0.375,148
Wednesday,1.0,2.3760034904013962,0.21666666666666667,191
Wednesday,2.0,1.6170426065162908,0.35,1995
Wednesday,3.0,1.320077668942317,0.35,6738
Wednesday,4.0,1.7951719249662084,0.55,10111
Wednesday,5.0,2.2149761490362923,0.8,10342
Wednesday,6.0,2.341993001494063,0.7666666666666667,8478
Wednesday,7.0,2.2163085546510075,0.55,7493
Wednesday,8.0,1.8884762948753084,0.4666666666666667,7298
Wednesday,9.0,1.8278148043108338,0.45,7052
Wednesday,10.0,1.5750583390528483,0.45,7285
Wednesday,11.0,1.995102726450446,0.5666666666666667,7739
Wednesday,12.0,1.9589609864564381,0.6166666666666667,8245
Wednesday,13.0,2.200122357283267,0.6666666666666666,8309
Wednesday,14.0,2.5450513278286095,0.8166666666666667,8962
Wednesday,15.0,2.8282862968129625,1.0,9319
Wednesday,16.0,2.454018122400475,0.8,8976
Wednesday,17.0,2.28468910985983,0.6833333333333333,8347
Wednesday,18.0,2.2404489455916528,0.5333333333333333,7603
Wednesday,19.0,2.0848593964334703,0.45,6804
Wednesday,20.0,1.7640409621072606,0.26666666666666666,5973
Wednesday,21.0,1.4435339902884892,0.2,4668
Wednesday,22.0,1.6591905086285195,0.21666666666666667,2936
Wednesday,23.0,1.7757716049382717,0.06666666666666667,1404
