ziel_betriebsstelle
MEI
MES
MESH2
MFL
MHF
MHO
MHOH2
MI
MIB
MID
MIDA1
MIGW1
MKI
MLDS11
MLX
MOG
MOSH3
MOT
MR H1
MRN
MSW
MT
MT G
MTH
MTLS21
MUES12
MUES41
MUG
MUN
MV
MW
MWT
MX
MX S12
MZ
MZ U2
MZG
MZS
N
NB
NB H1A
NB S14
NB S31
NB U2
NBB
NBF
NBN
NBS
ND
ND G
NEF
NEK
NEKS11
NEKS12
NEN
NES
NESL1
NESU1
NET
NETH1
NEU
NEUH1
NEUH1P
NEUH2
NEW
NF
NF S11
NG
NGG
NH
NH H1
NI A1
NI H1
NI S11
NIF
NIFG
NKR
NL
NL H1
NL S12
NOEH1
NS
NS G
NSF
NSK
NSL
NST
NSTS12
NSTS51
NSW
NW
NW H1H
NW H2
NW H3
NW S12
NW S22
NW S31
NW S32
NW U11
NWI
O
OA H1
OD
OD H1
OEB
OED
OEDH1
OEP
OEPH1
OF
OK
OK H1
ON
ORTH1
OST
OTG
OTGA1
OTGH1
OTGH5
OTT
OTTH1
OW
OZ
P
PA
PAMG
PAR
PARA1
PARH1
PARL1
PARS12
PAV
PB
PB S21
PEM
PEMH1
PET
PG
PG G
PG S12
PG Z9
PH
PH S11
PIC
PIEH1
PIV
PIVH1
PL
PLK
PLKH1
PLKH2
PM
PM H1
PM H2
PMS
PN
POE
POEA1W
POES31
POEU12
POWH1
POWS11
PR
PR H1
PR S12
PRAA1
PRE
PRV
PT
PTA
PTTH1
PU H1
PU S11
PUE
PUR
PURH1H
PURH3H
PUS
PUSH1
PUSH2
PUW
PUWH1A
PW
PZ
PZ F1
R
R  A1
R  G
R  H1H
RA
RAD
RADK1
RAF
RAFS11
RD
RD A5
RD H3
RDFH1
RDFU2
RE A1
REGH1
REI
REN
RF
RF H1
RF S12
RF S21
RG
RG H1K
RI S31
RK H1
RK H2
RK S11
RM S11
RMS
RN
RO A1
ROB
ROG
ROGA1
ROGH1
ROGH2
ROH
ROHS81
ROHW2
ROP
RR
RT
RT H1
RW
RW H1
RW S11
RZN
RZNH1
S
SAA
SAAS12
SAAS31
SAAU2
SAG
SAGH1
SAGH2
SAH
SAHH1
SAS
SASS11
SAUH2
SB
SB G
SBA
SBE
SBF
SBJ
SBM
SBWH1
SC
SC H1
SCB
SCE
SCH
SCHS12
SCHS51
SD
SD G
SD H1
SDG
SEBH3
SEEH1H
SEES95
SEEU1
SEI
SEIS12
SEJ
SESH1
SET
SETH1
SETK1
SF
SFLH1
SFLS11
SFLS12
SGE
SGEH1
SGKA1
SGKH1
SH
SH H1H
SHF
SHRH1
SI
SI H1
SI H2
SIL
SILH1H
SIM
SIZH1
SIZS12
SL
SLN
SLS
SMR
SMRG
SMS
SNB
SNBH2
SNSS21
SNZ
SNZG
SOP
SOU
SOUH2
SP W1
SPI
SPR
SPRH2
SPRH3
SPSS12
SPWS12
SPWS51
SPWS97
SPWU95
SR
SR H1
SR H2
SRE
SS A1
SS Z1
SSMH1
SSNH1
SSVH3
SSVS11
ST
ST W1
STB
STC
STE
STFH1
STG
STH
STI
STIG
STIH1
STIK1
STIS31
STIZ4
STK
STL
STP
STPG
STR
STRH1
STRS21
STSH1
STT
STTS12
STUH2
STV
STY
SU
SU H1
SUE
SUES21
SUEW1
SUEW2
SUEW3
SUM
SUN
SUW
SV
SV A1
SV H1
SV S93
SV Z91
SVE
SW
SW S12
SWA
SWAS11
SWAS12
SWAS92
SWU
SWUL1
SY
SY S11
T
T  H1
T  W1
TA
TA H1
TA S12
TAKH1
TAT
TATH1
TAU
TAUH1
TB
TB S12
TBV
TEL
TELH1
TELS11
TF
TF H1
TFD
TFDH2
TFDS12
TFDS82
TFN
TFO
TGS
TGSK1
TH G
TI
TI K1
TK
TL
TN S21
TO
TO G
TR H1
TR S21
TRAH2
TRN
TRNH3
TS
TS S12
TU
TUB
TUS
TX
UE
UF
UF H1
UH A1
UL
UM
UP
UP S12
UP S31
UPZ
UR
US
UZ S11
UZ S12
UZS
VB
VBD
VBO
VELS12
VF
VF H1
VI
VI G
VI H1A
VITH1
VIW
VK
VK Z1
VL
VL S11
VN
VN H1
VO Z9
VOB
VOBK3
VOIH2
VPS
VPSA1
VPSH1
VS
VSV
VU
VU H2
VW H1
W
W  S12
WA
WA S21
WAG
WAGH1
WAK
WAKH1
WAKU1
WAKZ3
WAL
WAR
WAS
WAT
WATS11
WATS95
WBB
WBF
WBFS11
WBFS12
WBFS21
WD
WD H1
WE
WE S12
WE S92
WEB
WEI
WEK
WEW
WEY
WEYH1
WEYZ1
WF
WF H1
WFG
WG
WG S11
WG S12
WG S21
WH
WI
WI U3
WIAW1
WIE
WIEA1
WIEH2
WIEH3
WIL
WILH1A
WIN
WINS11
WIT
WL
WL H1
WM
WO S11
WOF
WOGH1
WOL
WOLH1
WON
WP
WP H1
WR
WR A2
WR W1
WS
WSP
WSTSC1
WSTZ1
WT
WTS
WTT
WTTH1
WTTW2
WTW
WUL
WULG
WULH1H
WULS12
WULS21
WV
WV W1
WWB
WWBU1
XAWHG
XAWHV
Z
Z  A1
Z  H1
Z  S21
Z  U1
ZA
ZAB
ZD
ZE
ZF
ZG
ZL H3
ZL S31
ZN
ZU
ZUR
ZW
ZWS
