start_betriebsstelle,ziel_betriebsstelle,mean_delay,median_delay,number_of_trips
MT G,LWAW1,1.4833333333333334,1.4833333333333334,1
MTH,BS S12,4.05,4.05,1
MTH,MTH,3.6666666666666665,3.6666666666666665,1
MTLS22,LAVS12,10.95,10.95,1
MTN,BOB,0.5166666666666667,0.5166666666666667,1
MTN,BS S12,0.3896816037735849,-0.16666666666666666,3392
MTN,SB G,0.19966996699669967,-0.4666666666666667,101
MTN,SBM,3.4289855072463764,0.45,23
MTN,SWAS92,0.510062893081761,0.26666666666666666,53
MUES11,EBR,18.566666666666666,18.566666666666666,1
MUES42,AA,8.883333333333333,8.883333333333333,2
MUES42,BLS,2.146382730455076,0.65,857
MUES42,GN S11,20.73888888888889,14.033333333333333,3
MUES42,HIMS11,37.833333333333336,37.833333333333336,1
MUES42,MAT,3.816666666666667,3.816666666666667,1
MUES42,MI,-0.25,-0.25,1
MUES42,MLX,1.85125,0.35833333333333334,120
MUES42,WBF,0.9896255371393492,-0.06666666666666667,1629
MUG,SD H1,4.083333333333333,4.083333333333333,1
MV,GMI,29.766666666666666,29.766666666666666,1
MV,WI U3,16.400000000000002,13.35,3
MW,SETH1,-0.14444444444444443,-0.475,6
MW,SNZG,28.716666666666665,28.716666666666665,1
MW,WT,1.9314814814814818,-0.5166666666666666,18
MWT,TELH1,2.058816425120773,0.575,138
MWT,ZG,1.979045355515944,0.9666666666666667,1683
MX,RZNH1,13.541666666666666,13.541666666666666,2
MZ,WI U3,7.383333333333334,7.383333333333334,1
MZG,AA,23.2,23.2,1
MZG,BT H1,14.916666666666666,14.916666666666666,1
MZG,DOK,13.541666666666666,11.983333333333334,4
MZG,KTTG,0.22864583333333333,-0.08333333333333333,32
MZG,LGF,10.133333333333333,10.133333333333333,1
MZG,MLX,2.183333333333333,0.125,12
MZG,NBS,1.4163690476190476,0.5166666666666666,56
MZG,NIFG,58.13333333333333,58.13333333333333,1
MZG,NW H2,1.3,-0.4166666666666667,102
MZG,NW H3,0.6106666666666667,0.23333333333333334,25
MZG,NW S31,1.1272522522522521,-0.3916666666666667,74
MZG,PR H1,2.0,2.0,1
MZG,PR S12,1.6858921161825726,0.36666666666666664,964
MZG,WBB,0.21666666666666667,0.21666666666666667,1
MZG,WBF,-0.5499999999999999,-0.5499999999999999,2
MZG,WV W1,-18.783333333333335,-18.783333333333335,1
MZS,BK,1.3186791383219953,0.2,588
MZS,BM,-0.5666666666666667,-0.5666666666666667,1
MZS,GMI,1.2445364238410594,-0.2,906
MZS,KE,0.5833333333333334,0.5833333333333334,1
