zugnummer,betriebstag,abfahrtzeit_soll,abfahrtzeit_ist,start_betriebsstelle,ankunftzeit_soll,ankunftzeit_ist,ziel_betriebsstelle,fahrzeit_delta,abfahrt_verspaetung_min,ankunft_verspaetung_min
25886,2025-12-18,2025-12-18T11:51:30+0100,2025-12-18T12:31:42+0100,LIR,2025-12-18T12:09:00+0100,2025-12-18T13:14:42+0100,MT,00:25:30,40.2,65.7
27,2025-12-19,2025-12-19T16:23:00+0100,2025-12-19T17:40:07+0100,PAG,2025-12-19T18:44:39+0100,2025-12-19T20:11:51+0100,MLX,00:10:05,77.11666666666666,87.2
146,2025-12-19,2025-12-19T16:32:30+0100,2025-12-19T17:34:43+0100,HE,2025-12-19T17:58:21+0100,2025-12-19T18:50:45+0100,OW,-00:09:49,62.21666666666667,52.4
190,2025-12-19,2025-12-19T16:52:00+0100,2025-12-19T17:45:33+0100,LIR,2025-12-19T17:09:00+0100,2025-12-19T18:12:06+0100,MT,00:09:33,53.55,63.1
287,2025-12-19,2025-12-19T18:31:22+0100,2025-12-19T20:26:34+0100,MKI,2025-12-19T19:16:34+0100,2025-12-19T21:09:26+0100,H  H3,-00:02:20,115.2,112.86666666666666
323,2025-12-19,2025-12-19T20:39:00+0100,2025-12-19T21:43:10+0100,CV,2025-12-19T22:49:37+0100,2025-12-19T23:49:57+0100,WFG,-00:03:50,64.16666666666667,60.333333333333336
406,2025-12-19,2025-12-19T20:17:00+0100,2025-12-19T21:27:15+0100,MFL,2025-12-20T00:35:19+0100,2025-12-20T01:26:33+0100,BA,-00:19:01,70.25,51.233333333333334
463,2025-12-19,2025-12-19T03:53:17+0100,2025-12-19T06:37:50+0100,HW Z3,2025-12-19T07:25:00+0100,2025-12-19T10:12:00+0100,HE,00:02:27,164.55,167.0
756,2025-12-19,2025-12-19T06:25:54+0100,2025-12-19T07:51:46+0100,MLX,2025-12-19T10:29:17+0100,2025-12-19T11:51:57+0100,VBO,-00:03:12,85.86666666666666,82.66666666666667
865,2025-12-19,2025-12-19T08:41:28+0100,2025-12-19T08:43:50+0100,WO S12,2025-12-19T15:29:34+0100,2025-12-19T17:25:47+0100,MLX,01:53:51,2.3666666666666667,116.21666666666667
969,2025-12-19,2025-12-19T19:15:00+0100,2025-12-19T21:31:18+0100,MFL,2025-12-19T21:50:24+0100,2025-12-20T00:05:47+0100,OW,-00:00:55,136.3,135.38333333333333
6267,2025-12-19,2025-12-19T20:08:06+0100,2025-12-19T20:10:22+0100,VN H1,2025-12-19T21:48:20+0100,2025-12-19T23:13:23+0100,HNAS12,01:22:47,2.2666666666666666,85.05
93,2025-12-20,2025-12-20T19:23:00+0100,2025-12-20T20:42:22+0100,PAG,2025-12-20T21:44:39+0100,2025-12-20T23:09:20+0100,MLX,00:05:19,79.36666666666666,84.68333333333334
130,2025-12-20,2025-12-20T19:57:00+0100,2025-12-20T21:54:20+0100,TBV,2025-12-21T00:04:48+0100,2025-12-21T02:20:27+0100,MLX,00:18:19,117.33333333333333,135.65
137,2025-12-20,2025-12-20T06:55:00+0100,2025-12-20T06:56:33+0100,MLX,2025-12-20T11:03:00+0100,2025-12-20T12:04:00+0100,TBV,00:59:27,1.55,61.0
407,2025-12-20,2025-12-20T03:18:00+0100,2025-12-20T03:49:30+0100,BPA,2025-12-20T08:40:14+0100,2025-12-20T09:55:35+0100,MFL,00:43:51,31.5,75.35
456,2025-12-20,2025-12-20T19:22:39+0100,2025-12-20T19:22:52+0100,GMI,2025-12-20T23:04:00+0100,2025-12-21T00:13:59+0100,BA,01:09:46,0.21666666666666667,69.98333333333333
463,2025-12-20,2025-12-20T03:53:17+0100,2025-12-20T04:00:07+0100,HW Z3,2025-12-20T07:29:48+0100,2025-12-20T09:15:57+0100,HE,01:39:19,6.833333333333333,106.15
535,2025-12-20,2025-12-20T11:55:00+0100,2025-12-20T12:45:10+0100,MLX,2025-12-20T14:18:02+0100,2025-12-20T15:23:44+0100,GMI,00:15:32,50.166666666666664,65.7
901,2025-12-20,2025-12-20T05:38:53+0100,2025-12-20T05:42:30+0100,SASS12,2025-12-20T07:27:43+0100,2025-12-20T08:36:43+0100,OW,01:05:23,3.6166666666666667,69.0
